source_file,error_category,line_number,column_number,error_type,error_message,full_output
invalid_decl_1.cpp,Invalid Syntax in Declarations,6,5,error,'intger' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_1.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_1.cpp:6:5: error: 'intger' was not declared in this scope
     intger x = 5;  // Typo: 'intger' instead of 'int'
     ^~~~~~
WEEK5\error_collection\sample_programs\invalid_decl_1.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^"
invalid_decl_1.cpp,Invalid Syntax in Declarations,7,13,error,'x' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_1.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_1.cpp:6:5: error: 'intger' was not declared in this scope
     intger x = 5;  // Typo: 'intger' instead of 'int'
     ^~~~~~
WEEK5\error_collection\sample_programs\invalid_decl_1.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^"
invalid_decl_10.cpp,Invalid Syntax in Declarations,6,11,error,duplicate 'short',"WEEK5\error_collection\sample_programs\invalid_decl_10.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_10.cpp:6:11: error: duplicate 'short'
     short short int x = 5;  // Duplicate 'short'
           ^~~~~"
invalid_decl_11.cpp,Invalid Syntax in Declarations,6,5,error,'chr' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_11.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_11.cpp:6:5: error: 'chr' was not declared in this scope
     chr character = 'Z';  // Typo: 'chr' instead of 'char'
     ^~~
WEEK5\error_collection\sample_programs\invalid_decl_11.cpp:7:13: error: 'character' was not declared in this scope
     cout << character << endl;
             ^~~~~~~~~"
invalid_decl_11.cpp,Invalid Syntax in Declarations,7,13,error,'character' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_11.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_11.cpp:6:5: error: 'chr' was not declared in this scope
     chr character = 'Z';  // Typo: 'chr' instead of 'char'
     ^~~
WEEK5\error_collection\sample_programs\invalid_decl_11.cpp:7:13: error: 'character' was not declared in this scope
     cout << character << endl;
             ^~~~~~~~~"
invalid_decl_12.cpp,Invalid Syntax in Declarations,6,5,error,'cosnt' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_12.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_12.cpp:6:5: error: 'cosnt' was not declared in this scope
     cosnt int MAX = 100;  // Typo: 'cosnt' instead of 'const'
     ^~~~~
WEEK5\error_collection\sample_programs\invalid_decl_12.cpp:7:13: error: 'MAX' was not declared in this scope
     cout << MAX << endl;
             ^~~"
invalid_decl_12.cpp,Invalid Syntax in Declarations,7,13,error,'MAX' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_12.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_12.cpp:6:5: error: 'cosnt' was not declared in this scope
     cosnt int MAX = 100;  // Typo: 'cosnt' instead of 'const'
     ^~~~~
WEEK5\error_collection\sample_programs\invalid_decl_12.cpp:7:13: error: 'MAX' was not declared in this scope
     cout << MAX << endl;
             ^~~"
invalid_decl_13.cpp,Invalid Syntax in Declarations,6,5,error,'unsignd' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_13.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_13.cpp:6:5: error: 'unsignd' was not declared in this scope
     unsignd int positive = 50;  // Typo: 'unsignd' instead of 'unsigned'
     ^~~~~~~
WEEK5\error_collection\sample_programs\invalid_decl_13.cpp:7:13: error: 'positive' was not declared in this scope
     cout << positive << endl;
             ^~~~~~~~"
invalid_decl_13.cpp,Invalid Syntax in Declarations,7,13,error,'positive' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_13.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_13.cpp:6:5: error: 'unsignd' was not declared in this scope
     unsignd int positive = 50;  // Typo: 'unsignd' instead of 'unsigned'
     ^~~~~~~
WEEK5\error_collection\sample_programs\invalid_decl_13.cpp:7:13: error: 'positive' was not declared in this scope
     cout << positive << endl;
             ^~~~~~~~"
invalid_decl_14.cpp,Invalid Syntax in Declarations,5,5,error,'Char' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_14.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_14.cpp:5:5: error: 'Char' was not declared in this scope
     Char c = 'Z';  // Wrong case: 'Char' not valid
     ^~~~
WEEK5\error_collection\sample_programs\invalid_decl_14.cpp:6:13: error: 'c' was not declared in this scope
     cout << c << endl;
             ^"
invalid_decl_14.cpp,Invalid Syntax in Declarations,6,13,error,'c' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_14.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_14.cpp:5:5: error: 'Char' was not declared in this scope
     Char c = 'Z';  // Wrong case: 'Char' not valid
     ^~~~
WEEK5\error_collection\sample_programs\invalid_decl_14.cpp:6:13: error: 'c' was not declared in this scope
     cout << c << endl;
             ^"
invalid_decl_15.cpp,Invalid Syntax in Declarations,5,5,error,'integer' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_15.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_15.cpp:5:5: error: 'integer' was not declared in this scope
     integer val = 100;  // 'integer' is not a C++ type
     ^~~~~~~
WEEK5\error_collection\sample_programs\invalid_decl_15.cpp:6:13: error: 'val' was not declared in this scope
     cout << val << endl;
             ^~~"
invalid_decl_15.cpp,Invalid Syntax in Declarations,6,13,error,'val' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_15.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_15.cpp:5:5: error: 'integer' was not declared in this scope
     integer val = 100;  // 'integer' is not a C++ type
     ^~~~~~~
WEEK5\error_collection\sample_programs\invalid_decl_15.cpp:6:13: error: 'val' was not declared in this scope
     cout << val << endl;
             ^~~"
invalid_decl_16.cpp,Invalid Syntax in Declarations,5,5,error,'sting' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_16.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_16.cpp:5:5: error: 'sting' was not declared in this scope
     sting name = ""Bob"";  // Typo: 'sting' instead of 'string'
     ^~~~~
WEEK5\error_collection\sample_programs\invalid_decl_16.cpp:6:13: error: 'name' was not declared in this scope
     cout << name << endl;
             ^~~~"
invalid_decl_16.cpp,Invalid Syntax in Declarations,6,13,error,'name' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_16.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_16.cpp:5:5: error: 'sting' was not declared in this scope
     sting name = ""Bob"";  // Typo: 'sting' instead of 'string'
     ^~~~~
WEEK5\error_collection\sample_programs\invalid_decl_16.cpp:6:13: error: 'name' was not declared in this scope
     cout << name << endl;
             ^~~~"
invalid_decl_17.cpp,Invalid Syntax in Declarations,5,5,error,'Boool' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_17.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_17.cpp:5:5: error: 'Boool' was not declared in this scope
     Boool flag = true;  // Typo: 'Boool'
     ^~~~~
WEEK5\error_collection\sample_programs\invalid_decl_17.cpp:6:13: error: 'flag' was not declared in this scope
     cout << flag << endl;
             ^~~~"
invalid_decl_17.cpp,Invalid Syntax in Declarations,6,13,error,'flag' was not declared in this scope,"WEEK5\error_collection\sample_programs\invalid_decl_17.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_17.cpp:5:5: error: 'Boool' was not declared in this scope
     Boool flag = true;  // Typo: 'Boool'
     ^~~~~
WEEK5\error_collection\sample_programs\invalid_decl_17.cpp:6:13: error: 'flag' was not declared in this scope
     cout << flag << endl;
             ^~~~"
invalid_decl_18.cpp,Invalid Syntax in Declarations,5,13,error,two or more data types in declaration of 'x',"WEEK5\error_collection\sample_programs\invalid_decl_18.cpp: In function 'int main()':
WEEK5\error_collection\sample_programs\invalid_decl_18.cpp:5:13: error: two or more data types in declaration of 'x'
     int int x = 5;  // Duplicate type keyword
             ^
WEEK5\error_collection\sample_programs\invalid_decl_18.cpp:6:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^"
