source_file,error_category,line_number,column_number,error_type,error_message,full_output
invalid_decl_1.cpp,Invalid Syntax in Declarations,6,5,error,'intger' was not declared in this scope,"sample_programs\invalid_decl_1.cpp: In function 'int main()':
sample_programs\invalid_decl_1.cpp:6:5: error: 'intger' was not declared in this scope
     intger x = 5;  // Typo: 'intger' instead of 'int'
     ^~~~~~
sample_programs\invalid_decl_1.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_1.cpp,Invalid Syntax in Declarations,7,13,error,'x' was not declared in this scope,"sample_programs\invalid_decl_1.cpp: In function 'int main()':
sample_programs\invalid_decl_1.cpp:6:5: error: 'intger' was not declared in this scope
     intger x = 5;  // Typo: 'intger' instead of 'int'
     ^~~~~~
sample_programs\invalid_decl_1.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_10.cpp,Invalid Syntax in Declarations,6,11,error,duplicate 'short',"sample_programs\invalid_decl_10.cpp: In function 'int main()':
sample_programs\invalid_decl_10.cpp:6:11: error: duplicate 'short'
     short short int x = 5;  // Duplicate 'short'
           ^~~~~
"
invalid_decl_11.cpp,Invalid Syntax in Declarations,6,5,error,'chr' was not declared in this scope,"sample_programs\invalid_decl_11.cpp: In function 'int main()':
sample_programs\invalid_decl_11.cpp:6:5: error: 'chr' was not declared in this scope
     chr character = 'Z';  // Typo: 'chr' instead of 'char'
     ^~~
sample_programs\invalid_decl_11.cpp:7:13: error: 'character' was not declared in this scope
     cout << character << endl;
             ^~~~~~~~~
"
invalid_decl_11.cpp,Invalid Syntax in Declarations,7,13,error,'character' was not declared in this scope,"sample_programs\invalid_decl_11.cpp: In function 'int main()':
sample_programs\invalid_decl_11.cpp:6:5: error: 'chr' was not declared in this scope
     chr character = 'Z';  // Typo: 'chr' instead of 'char'
     ^~~
sample_programs\invalid_decl_11.cpp:7:13: error: 'character' was not declared in this scope
     cout << character << endl;
             ^~~~~~~~~
"
invalid_decl_12.cpp,Invalid Syntax in Declarations,6,5,error,'cosnt' was not declared in this scope,"sample_programs\invalid_decl_12.cpp: In function 'int main()':
sample_programs\invalid_decl_12.cpp:6:5: error: 'cosnt' was not declared in this scope
     cosnt int MAX = 100;  // Typo: 'cosnt' instead of 'const'
     ^~~~~
sample_programs\invalid_decl_12.cpp:7:13: error: 'MAX' was not declared in this scope
     cout << MAX << endl;
             ^~~
"
invalid_decl_12.cpp,Invalid Syntax in Declarations,7,13,error,'MAX' was not declared in this scope,"sample_programs\invalid_decl_12.cpp: In function 'int main()':
sample_programs\invalid_decl_12.cpp:6:5: error: 'cosnt' was not declared in this scope
     cosnt int MAX = 100;  // Typo: 'cosnt' instead of 'const'
     ^~~~~
sample_programs\invalid_decl_12.cpp:7:13: error: 'MAX' was not declared in this scope
     cout << MAX << endl;
             ^~~
"
invalid_decl_13.cpp,Invalid Syntax in Declarations,6,5,error,'unsignd' was not declared in this scope,"sample_programs\invalid_decl_13.cpp: In function 'int main()':
sample_programs\invalid_decl_13.cpp:6:5: error: 'unsignd' was not declared in this scope
     unsignd int positive = 50;  // Typo: 'unsignd' instead of 'unsigned'
     ^~~~~~~
sample_programs\invalid_decl_13.cpp:7:13: error: 'positive' was not declared in this scope
     cout << positive << endl;
             ^~~~~~~~
"
invalid_decl_13.cpp,Invalid Syntax in Declarations,7,13,error,'positive' was not declared in this scope,"sample_programs\invalid_decl_13.cpp: In function 'int main()':
sample_programs\invalid_decl_13.cpp:6:5: error: 'unsignd' was not declared in this scope
     unsignd int positive = 50;  // Typo: 'unsignd' instead of 'unsigned'
     ^~~~~~~
sample_programs\invalid_decl_13.cpp:7:13: error: 'positive' was not declared in this scope
     cout << positive << endl;
             ^~~~~~~~
"
invalid_decl_2.cpp,Invalid Syntax in Declarations,6,5,error,'flaot' was not declared in this scope,"sample_programs\invalid_decl_2.cpp: In function 'int main()':
sample_programs\invalid_decl_2.cpp:6:5: error: 'flaot' was not declared in this scope
     flaot price = 99.99;  // Typo: 'flaot' instead of 'float'
     ^~~~~
sample_programs\invalid_decl_2.cpp:7:13: error: 'price' was not declared in this scope
     cout << price << endl;
             ^~~~~
"
invalid_decl_2.cpp,Invalid Syntax in Declarations,7,13,error,'price' was not declared in this scope,"sample_programs\invalid_decl_2.cpp: In function 'int main()':
sample_programs\invalid_decl_2.cpp:6:5: error: 'flaot' was not declared in this scope
     flaot price = 99.99;  // Typo: 'flaot' instead of 'float'
     ^~~~~
sample_programs\invalid_decl_2.cpp:7:13: error: 'price' was not declared in this scope
     cout << price << endl;
             ^~~~~
"
invalid_decl_3.cpp,Invalid Syntax in Declarations,6,5,error,'doubel' was not declared in this scope,"sample_programs\invalid_decl_3.cpp: In function 'int main()':
sample_programs\invalid_decl_3.cpp:6:5: error: 'doubel' was not declared in this scope
     doubel pi = 3.14159;  // Typo: 'doubel' instead of 'double'
     ^~~~~~
sample_programs\invalid_decl_3.cpp:7:13: error: 'pi' was not declared in this scope
     cout << pi << endl;
             ^~
"
invalid_decl_3.cpp,Invalid Syntax in Declarations,7,13,error,'pi' was not declared in this scope,"sample_programs\invalid_decl_3.cpp: In function 'int main()':
sample_programs\invalid_decl_3.cpp:6:5: error: 'doubel' was not declared in this scope
     doubel pi = 3.14159;  // Typo: 'doubel' instead of 'double'
     ^~~~~~
sample_programs\invalid_decl_3.cpp:7:13: error: 'pi' was not declared in this scope
     cout << pi << endl;
             ^~
"
invalid_decl_4.cpp,Invalid Syntax in Declarations,8,15,error,two or more data types in declaration of 'x',"sample_programs\invalid_decl_4.cpp: In function 'int main()':
sample_programs\invalid_decl_4.cpp:8:15: error: two or more data types in declaration of 'x'
     int float x = 10;
               ^
sample_programs\invalid_decl_4.cpp:9:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_4.cpp,Invalid Syntax in Declarations,9,13,error,'x' was not declared in this scope,"sample_programs\invalid_decl_4.cpp: In function 'int main()':
sample_programs\invalid_decl_4.cpp:8:15: error: two or more data types in declaration of 'x'
     int float x = 10;
               ^
sample_programs\invalid_decl_4.cpp:9:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
