source_file,error_category,line_number,column_number,msg_has_expected,msg_has_declared,msg_has_before,msg_has_type,msg_has_conversion,msg_has_return,msg_has_control,msg_has_implicit,msg_has_unknown,msg_mentions_semicolon,msg_mentions_brace,msg_mentions_paren,msg_length,msg_word_count,code_length,code_ends_semicolon,code_has_declaration,code_open_braces,code_close_braces,code_open_parens,code_close_parens,code_has_assignment,code_has_comparison,code_has_string,brace_balance,paren_balance,total_braces,total_parens
undeclared_3_aug177.cpp,Undeclared Variable,1,7,0,1,0,0,0,0,0,0,0,0,0,0,39,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_header_17.cpp,Missing Header Include,6,11,1,0,1,0,0,0,0,0,0,0,0,0,40,4,36,0,1,0,0,0,0,0,1,0,0,0,0,0
undeclared_1.cpp,Undeclared Variable,6,5,0,1,0,0,0,0,0,0,0,0,0,0,38,7,35,0,0,0,0,0,0,1,0,1,0,0,0,0
missing_semicolon_22.cpp,Missing Semicolon,6,5,1,0,1,0,0,0,0,0,0,1,0,0,33,6,23,1,0,0,0,0,0,0,1,0,0,0,0,0
undeclared_14.cpp,Undeclared Variable,7,13,0,1,0,0,0,0,0,0,0,0,0,0,38,7,64,0,0,0,0,1,1,0,1,1,0,0,0,2
type_mismatch_13_aug128.cpp,Type Mismatch,13,26,0,0,0,1,1,0,0,0,0,0,0,0,112,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_semicolon_14.cpp,Missing Semicolon,7,5,1,0,1,0,0,0,0,0,0,1,0,0,33,6,23,1,0,0,0,0,0,0,1,0,0,0,0,0
invalid_decl_8.cpp,Invalid Syntax in Declarations,6,14,1,0,1,0,0,0,0,0,0,0,0,0,33,4,57,0,1,0,0,0,0,1,0,1,0,0,0,0
unmatched_parens_13.cpp,Unmatched Parentheses,6,32,1,0,1,0,0,0,0,0,0,0,1,1,29,5,60,0,0,1,0,2,1,0,0,0,1,1,1,3
invalid_decl_14.cpp,Invalid Syntax in Declarations,5,5,0,1,0,0,0,0,0,0,0,0,0,0,37,7,46,0,0,0,0,0,0,1,0,1,0,0,0,0
missing_return_10.cpp,Missing Return Statement,9,1,0,0,0,1,0,1,0,0,0,0,0,0,66,8,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
missing_header_16_aug864.cpp,Missing Header Include,2,3,0,1,0,0,0,0,0,0,0,0,0,0,45,7,25,0,0,0,0,0,0,0,1,0,0,0,0,0
type_mismatch_15_aug371.cpp,Type Mismatch,11,13,0,0,0,1,1,0,0,0,0,0,0,0,60,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_semicolon_3.cpp,Missing Semicolon,8,34,0,1,0,0,0,0,0,0,0,0,0,0,36,7,41,1,0,0,0,0,0,0,1,1,0,0,0,0
missing_header_8.cpp,Missing Header Include,9,34,0,1,0,0,0,0,0,0,0,0,0,0,37,7,53,0,0,0,0,3,3,0,0,0,0,0,0,6
unmatched_braces_11.cpp,Unmatched Braces,12,1,1,0,0,0,0,0,0,0,0,0,1,0,28,6,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
undeclared_10_aug384.cpp,Undeclared Variable,3,7,0,1,0,0,0,0,0,0,0,0,0,0,42,7,20,1,0,0,0,0,0,0,0,0,0,0,0,0
invalid_decl_23.cpp,Invalid Syntax in Declarations,6,13,0,1,0,0,0,0,0,0,0,0,0,0,39,7,23,1,0,0,0,0,0,0,1,0,0,0,0,0
missing_return_6.cpp,Missing Return Statement,6,9,0,0,0,0,0,0,0,0,0,0,0,0,44,4,19,1,1,0,0,0,0,1,0,0,0,0,0,0
unmatched_parens_9_aug173.cpp,Unmatched Parentheses,5,26,1,0,0,0,0,0,0,0,0,0,1,1,31,6,12,0,1,1,0,1,1,0,0,0,1,0,1,2
undeclared_9.cpp,Undeclared Variable,7,5,0,1,0,0,0,0,0,0,0,0,0,0,34,7,48,0,0,0,0,1,1,1,0,1,0,0,0,2
missing_header_22_aug241.cpp,Missing Header Include,13,34,0,1,0,0,0,0,0,0,0,0,0,0,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unmatched_parens_10_aug581.cpp,Unmatched Parentheses,5,25,1,0,0,0,0,0,0,0,0,1,0,1,31,6,12,0,1,1,0,1,1,0,0,0,1,0,1,2
missing_header_17.cpp,Missing Header Include,6,5,0,1,0,0,0,0,0,0,0,0,0,0,38,7,36,0,1,0,0,0,0,0,1,0,0,0,0,0
missing_header_13.cpp,Missing Header Include,7,18,0,1,0,0,0,0,0,0,0,0,0,0,47,7,72,0,1,0,0,1,1,1,1,0,0,0,0,2
missing_header_28.cpp,Missing Header Include,7,13,0,1,0,0,0,0,0,0,0,0,0,0,36,7,26,1,0,0,0,1,1,0,1,0,0,0,0,2
missing_header_21_aug374.cpp,Missing Header Include,4,22,0,1,0,0,0,0,0,0,0,0,0,0,43,7,20,1,0,0,0,0,0,0,0,0,0,0,0,0
unmatched_parens_8_aug354.cpp,Unmatched Parentheses,5,13,1,0,0,0,0,0,0,0,0,0,1,1,31,6,12,0,1,1,0,1,1,0,0,0,1,0,1,2
missing_header_18.cpp,Missing Header Include,7,5,0,1,0,0,0,0,0,0,0,0,0,0,35,7,12,1,0,0,0,1,1,0,0,0,0,0,0,2
missing_header_14.cpp,Missing Header Include,8,5,0,1,0,0,0,0,0,0,0,0,0,0,37,7,19,1,0,0,0,0,0,1,0,1,0,0,0,0
undeclared_25_aug236.cpp,Undeclared Variable,7,4,0,1,0,0,0,0,0,0,0,0,0,0,48,7,31,1,0,0,0,0,0,0,1,0,0,0,0,0
missing_header_18.cpp,Missing Header Include,6,11,1,0,1,0,0,0,0,0,0,0,0,0,40,4,37,0,1,0,0,0,0,0,1,0,0,0,0,0
missing_return_8.cpp,Missing Return Statement,8,1,0,0,0,1,0,1,0,0,0,0,0,0,66,8,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
invalid_decl_10.cpp,Invalid Syntax in Declarations,6,11,0,0,0,0,0,0,0,0,0,0,0,0,17,2,44,0,1,0,0,0,0,1,0,1,0,0,0,0
unmatched_parens_20.cpp,Unmatched Parentheses,5,28,1,0,1,0,0,0,0,0,0,1,1,0,29,5,24,1,0,0,0,0,0,0,1,1,0,0,0,0
missing_header_2.cpp,Missing Header Include,7,28,0,1,0,0,0,0,0,0,0,0,0,0,37,7,47,0,1,0,0,1,1,1,0,0,0,0,0,2
type_mismatch_12.cpp,Type Mismatch,8,9,0,0,0,0,1,0,0,0,0,0,0,0,105,10,39,0,1,0,0,0,0,1,0,0,0,0,0,0
missing_semicolon_25.cpp,Missing Semicolon,5,12,0,0,0,0,0,0,0,0,0,0,0,0,41,4,17,0,1,0,0,0,0,1,0,0,0,0,0,0
unmatched_braces_8.cpp,Unmatched Braces,10,1,1,0,0,0,0,0,0,0,0,1,0,0,28,6,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
unmatched_braces_2.cpp,Unmatched Braces,9,13,1,0,0,0,0,0,0,0,0,0,1,0,28,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0
missing_semicolon_4.cpp,Missing Semicolon,7,5,1,0,1,0,0,0,0,0,0,1,0,0,33,6,34,1,0,0,0,0,0,0,1,1,0,0,0,0
undeclared_4_aug744.cpp,Undeclared Variable,5,6,0,1,0,0,0,0,0,0,0,0,0,0,41,7,12,0,1,1,0,1,1,0,0,0,1,0,1,2
invalid_decl_25.cpp,Invalid Syntax in Declarations,5,5,0,1,0,0,0,0,0,0,0,0,0,0,38,7,51,0,1,0,0,0,0,1,0,1,0,0,0,0
unmatched_parens_10_aug431.cpp,Unmatched Parentheses,2,20,1,0,1,0,0,0,0,0,0,1,0,1,35,6,19,0,0,0,0,0,0,0,1,0,0,0,0,0
invalid_decl_1.cpp,Invalid Syntax in Declarations,6,5,0,1,0,0,0,0,0,0,0,0,0,0,39,7,49,0,1,0,0,0,0,1,0,1,0,0,0,0
invalid_decl_15.cpp,Invalid Syntax in Declarations,5,5,0,1,0,0,0,0,0,0,0,0,0,0,40,7,50,0,0,0,0,0,0,1,0,1,0,0,0,0
unmatched_parens_20.cpp,Unmatched Parentheses,5,28,1,0,1,0,0,0,0,0,0,1,0,1,29,5,24,1,0,0,0,0,0,0,1,1,0,0,0,0
missing_semicolon_21.cpp,Missing Semicolon,6,5,1,0,1,0,0,0,0,0,0,1,0,0,33,6,25,1,0,0,0,0,0,0,1,0,0,0,0,0
missing_header_25.cpp,Missing Header Include,6,24,0,1,0,0,0,0,0,0,0,0,0,0,37,7,43,0,1,0,0,1,1,1,0,0,0,0,0,2
unmatched_parens_6.cpp,Unmatched Parentheses,9,1,1,0,1,0,0,0,0,0,0,0,1,0,37,5,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
type_mismatch_26_aug552.cpp,Type Mismatch,12,15,0,0,0,0,1,0,0,0,0,0,0,0,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
undeclared_11_aug460.cpp,Undeclared Variable,2,8,0,1,0,0,0,0,0,0,0,0,0,0,37,7,19,0,0,0,0,0,0,0,1,0,0,0,0,0
missing_return_25_aug348.cpp,Missing Return Statement,3,4,0,0,0,1,0,1,0,0,0,0,0,0,66,8,20,1,0,0,0,0,0,0,0,0,0,0,0,0
missing_return_19.cpp,Missing Return Statement,9,1,0,0,0,1,0,1,1,0,0,0,0,0,56,7,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
invalid_decl_18.cpp,Invalid Syntax in Declarations,6,13,0,1,0,0,0,0,0,0,0,0,0,0,34,7,18,1,0,0,0,0,0,0,1,0,0,0,0,0
type_mismatch_7_aug775.cpp,Type Mismatch,12,11,0,0,0,1,1,0,0,0,0,0,0,0,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
type_mismatch_14_aug175.cpp,Type Mismatch,4,13,0,0,0,0,1,0,0,0,0,0,0,0,57,8,12,0,1,1,0,1,1,0,0,0,1,0,1,2
unmatched_parens_26_aug193.cpp,Unmatched Parentheses,11,12,1,0,1,0,0,0,0,0,0,0,1,1,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unmatched_braces_28.cpp,Unmatched Braces,13,1,1,0,0,0,0,0,0,0,0,0,1,0,28,6,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
type_mismatch_23.cpp,Type Mismatch,6,13,0,0,0,0,1,0,0,0,0,0,0,0,55,7,35,0,1,0,0,0,0,1,0,0,0,0,0,0
type_mismatch_30_aug296.cpp,Type Mismatch,10,11,0,0,0,0,1,0,0,0,0,0,0,0,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invalid_decl_28.cpp,Invalid Syntax in Declarations,5,15,0,0,0,0,0,0,0,0,0,0,0,0,36,8,48,0,1,0,0,0,0,1,0,0,0,0,0,0
undeclared_25_aug379.cpp,Undeclared Variable,9,3,0,1,0,0,0,0,0,0,0,0,0,0,41,7,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
missing_semicolon_9.cpp,Missing Semicolon,7,5,1,0,1,0,0,0,0,0,0,1,0,0,35,6,20,1,1,0,0,0,0,1,0,0,0,0,0,0
unmatched_braces_17.cpp,Unmatched Braces,13,1,1,0,0,0,0,0,0,0,0,0,1,0,28,6,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
missing_semicolon_13.cpp,Missing Semicolon,7,5,1,0,1,0,0,0,0,0,0,1,0,0,33,6,37,1,0,0,0,0,0,0,1,1,0,0,0,0
unmatched_parens_6.cpp,Unmatched Parentheses,6,5,1,0,1,0,0,0,0,0,0,0,1,0,25,4,11,1,1,0,0,0,0,1,0,0,0,0,0,0
missing_header_16.cpp,Missing Header Include,6,9,1,0,1,0,0,0,0,0,0,0,0,0,40,4,32,0,1,0,0,0,0,0,1,0,0,0,0,0
unmatched_braces_16.cpp,Unmatched Braces,9,12,0,0,1,0,0,0,0,0,0,0,1,0,58,9,12,0,1,1,0,1,1,0,0,0,1,0,1,2
undeclared_23.cpp,Undeclared Variable,5,9,0,1,0,0,0,0,0,0,0,0,0,0,34,7,45,0,0,1,0,1,1,1,1,1,1,0,1,2
unmatched_parens_26_aug579.cpp,Unmatched Parentheses,5,16,1,0,0,0,0,0,0,0,0,0,1,1,31,6,11,1,1,0,0,0,0,1,0,0,0,0,0,0
missing_return_3.cpp,Missing Return Statement,9,1,0,0,0,1,0,1,0,0,0,0,0,0,66,8,1,0,0,0,1,0,0,0,0,0,-1,0,1,0
missing_header_27.cpp,Missing Header Include,7,5,0,1,0,0,0,0,0,0,0,0,0,0,36,7,17,1,0,0,0,1,1,0,0,0,0,0,0,2
